m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,reference.1,reference.2
112,Belarus,,2211,Raw milk of cattle,2004,0.02,0.02%,1000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
112,Belarus,,2211,Raw milk of cattle,2003,0.02,0.02%,1000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
112,Belarus,,2211,Raw milk of cattle,2002,0.02,0.02%,1000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
112,Belarus,,2211,Raw milk of cattle,2001,0.04,0.04%,2000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
112,Belarus,,2211,Raw milk of cattle,2000,0.02,0.02%,1000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
116,Cambodia,,1213,Cauliflowers and broccoli,2006,4.0,4%,,Farm,Farm,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,5.0,5%,,Retailing,Retail,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,5.0,5%,,Retailing,Retail,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,4.0,4%,,Wholesale,Wholesale,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,6.0,6%,,Wholesale,Wholesale,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,3.0,3%,,Farm,Farm,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,3.0,3%,,Collection,Trader,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,5.0,5%,,Retailing,Retail,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,3.0,3%,,Collection,Trader,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,4.0,4%,,Farm,Farm,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,4.0,4%,,Wholesale,Wholesale,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2006,3.0,3%,,Collection,Trader,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,9.0,9%,,Farm,Farm,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,5.0,5%,,Wholesale,Wholesale,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,4.0,4%,,Retailing,Retail,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,4.0,4%,,Collection,Trader,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,4.0,4%,,Retailing,Retail,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,5.0,5%,,Farm,Farm,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,4.0,4%,,Wholesale,Wholesale,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,4.0,4%,,Collection,Trader,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,4.0,4%,,Wholesale,Wholesale,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,5.0,5%,,Retailing,Retail,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,5.0,5%,,Collection,Trader,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1232,Cucumbers and gherkins,2006,5.0,5%,,Farm,Farm,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,7.0,7%,,Wholesale,Wholesale,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,6.0,6%,,Farm,Farm,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,2.0,2%,,Collection,Trader,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,1.0,1%,,Collection,Trader,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,6.0,6%,,Farm,Farm,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,13.0,13%,,Farm,Farm,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,2.0,2%,,Collection,Trader,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,5.0,5%,,Retailing,Retail,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,8.0,8%,,Wholesale,Wholesale,Dry season 1 ( November to January),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,6.0,6%,,Retailing,Retail,Wet season  ( May to October),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,5.0,5%,,Retailing,Retail,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1234,Tomatoes,2006,4.0,4%,,Wholesale,Wholesale,Dry season 2 ( January to April),,,Survey,Genova 2 et al (2006),Genova 2 et al (2006),Genova 2 et al (2006)
116,Cambodia,,1213,Cauliflowers and broccoli,2005,16.0,16,164.0,,Farm,,Hot Weather During Harvest And Post Packaging,50,Survey,,,
124,Canada,,231,"Hen eggs in shell, fresh",2018,1.95,1.95%,11120.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2018,8.0,8%,170080.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2017,1.95,1.95%,10760.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2017,8.0,8%,170210.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2016,1.95,1.95%,10360.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2016,8.0,8%,166470.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2015,1.95,1.95%,9700.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2015,8.0,8%,165130.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2014,1.95,1.95%,9240.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2014,8.0,8%,157020.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,111,Wheat,2013,0.06,0.06%,20700.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1330,Grapes,2013,5.61,5.61%,16730.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2013,1.95,1.95%,9220.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2013,8.0,8%,158440.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,111,Wheat,2012,0.05,0.05%,13500.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1330,Grapes,2012,5.78,5.78%,16050.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2012,1.95,1.95%,9130.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2012,8.0,8%,160350.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,111,Wheat,2011,0.09,0.09%,22400.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1330,Grapes,2011,5.98,5.98%,16050.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2011,1.95,1.95%,8950.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2011,8.0,8%,158030.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,111,Wheat,2010,0.1,0.10%,22500.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1330,Grapes,2010,6.45,6.45%,17050.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2010,1.95,1.95%,8800.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2010,8.0,8%,155060.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,111,Wheat,2009,0.09,0.09%,23400.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1330,Grapes,2009,6.59,6.59%,16670.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2009,1.95,1.95%,8610.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2009,7.97,7.97%,155470.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,111,Wheat,2008,0.09,0.09%,26500.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1330,Grapes,2008,6.35,6.35%,17390.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1705,"Peas, dry",2008,2.0,2%,71430.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2008,1.83,1.83%,7680.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2008,8.0,8%,155830.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,111,Wheat,2007,0.08,0.08%,16100.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,115,Barley,2007,0.02,0.02%,2700.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1211,Asparagus,2007,8.56,8.56%,1920.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1212,Cabbages,2007,12.48,12.48%,21720.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1213,Cauliflowers and broccoli,2007,3.61,3.61%,5980.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1214,Lettuce and chicory,2007,6.45,6.45%,25050.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1221,Watermelons,2007,9.8,9.80%,20510.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1229,Cantaloupes and other melons,2007,6.25,6.25%,11270.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2007,7.07,7.07%,10640.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1232,Cucumbers and gherkins,2007,6.63,6.63%,14420.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1234,Tomatoes,2007,5.79,5.79%,47570.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1241.9,"Other beans, green",2007,4.17,4.17%,2080.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1242,"Peas, green",2007,0.82,0.82%,500.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1251,Carrots and turnips,2007,2.44,2.44%,7500.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1253.02,"Onions and shallots, dry (excluding dehydrated)",2007,8.29,8.29%,18260.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1254,Leeks and other alliaceous vegetables,2007,14.38,14.38%,520.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1290.01,Green corn (maize),2007,2.83,2.83%,8380.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1330,Grapes,2007,6.48,6.48%,16700.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1341,Apples,2007,3.45,3.45%,13960.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1342.01,Pears,2007,5.21,5.21%,4820.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1343,Apricots,2007,8.95,8.95%,530.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1344.02,Cherries,2007,6.86,6.86%,2350.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1345,Peaches and nectarines,2007,3.49,3.49%,3260.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1346,Plums and sloes,2007,5.0,5%,1460.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1352,Kiwi fruit,2007,6.22,6.22%,1300.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1354,Strawberries,2007,7.87,7.87%,8750.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1355.01,Blueberries,2007,1.25,1.25%,970.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1355.02,Cranberries and other fruits of the genus Vaccinium,2007,1.46,1.46%,970.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1355.9,Other berries and fruits of the genus Vaccinium n.e.,2007,11.36,11.36%,1530.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1359.9,"Other fruits, n.e.",2007,6.05,6.05%,1300.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1705,"Peas, dry",2007,2.0,2%,58700.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,231,"Hen eggs in shell, fresh",2007,1.89,1.89%,7520.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,21113.01,"Meat of pig, fresh or chilled",2007,7.98,7.98%,151550.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,111,Wheat,2006,0.05,0.05%,12000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1211,Asparagus,2006,8.6,8.60%,1930.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1212,Cabbages,2006,12.35,12.35%,20960.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1213,Cauliflowers and broccoli,2006,6.94,6.94%,6390.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1214,Lettuce and chicory,2006,6.72,6.72%,25980.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1221,Watermelons,2006,9.8,9.80%,20050.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1229,Cantaloupes and other melons,2006,6.04,6.04%,10770.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2006,7.69,7.69%,11850.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1232,Cucumbers and gherkins,2006,6.85,6.85%,14840.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1234,Tomatoes,2006,5.39,5.39%,44000.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1241.9,"Other beans, green",2006,4.25,4.25%,2250.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1242,"Peas, green",2006,0.84,0.84%,580.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1251,Carrots and turnips,2006,1.98,1.98%,6010.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1253.02,"Onions and shallots, dry (excluding dehydrated)",2006,8.53,8.53%,18030.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1254,Leeks and other alliaceous vegetables,2006,13.46,13.46%,510.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1290.01,Green corn (maize),2006,3.96,3.96%,9620.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1330,Grapes,2006,6.05,6.05%,15770.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1341,Apples,2006,3.63,3.63%,13660.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1342.01,Pears,2006,5.17,5.17%,4670.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1343,Apricots,2006,8.79,8.79%,330.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1344.02,Cherries,2006,6.83,6.83%,1960.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1345,Peaches and nectarines,2006,3.37,3.37%,2900.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1346,Plums and sloes,2006,4.99,4.99%,1380.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1352,Kiwi fruit,2006,6.21,6.21%,1190.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1354,Strawberries,2006,7.88,7.88%,8650.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1355.01,Blueberries,2006,0.88,0.88%,730.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1355.02,Cranberries and other fruits of the genus Vaccinium,2006,1.67,1.67%,1290.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1355.9,Other berries and fruits of the genus Vaccinium n.e.,2006,8.85,8.85%,1100.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
124,Canada,,1359.9,"Other fruits, n.e.",2006,5.97,5.97%,1040.0,,Whole supply chain,,,,FAO's annual Agriculture Production Questionnaires,FAO Sources,FAO Sources,FAO Sources
